Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/01/2022,11/01/2022,AMZN Mktp US*H29YL2F00,Shopping,Sale,-10.59,
10/31/2022,11/01/2022,Amazon Digit*H02AI53O2,Shopping,Sale,-0.85,
10/28/2022,10/30/2022,AMZN Mktp US*H88PX8K62,Shopping,Sale,-572.36,
10/27/2022,10/28/2022,Amazon.com*H85SL3QC2,Shopping,Sale,-31.78,
10/27/2022,10/28/2022,AMZN Mktp US*H02SU6JB1,Shopping,Sale,-36.03,
10/27/2022,10/28/2022,Amazon.com*H83ZM2QS2,Shopping,Sale,-19.64,
10/27/2022,10/27/2022,AMZN Mktp US*H06V83L21,Shopping,Sale,-6.94,
10/27/2022,10/27/2022,AMZN Mktp US*H04PH7LD1,Shopping,Sale,-25.39,
10/27/2022,10/27/2022,AMZN Mktp US*H84MN0HZ2,Shopping,Sale,-23.31,
10/25/2022,10/26/2022,AMZN Mktp US*H82G87WX1,Shopping,Sale,-190.75,
10/25/2022,10/25/2022,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-22.63,
10/20/2022,10/21/2022,AMZN Mktp US*H899S4TR1,Shopping,Sale,-9.81,
10/20/2022,10/21/2022,Amazon.com*H84917TK1,Shopping,Sale,-24.04,
10/21/2022,10/21/2022,Payment Thank You-Mobile,,Payment,3442.21,
10/19/2022,10/20/2022,Amazon.com*H817X4AU0,Shopping,Sale,-8.25,
10/18/2022,10/19/2022,AMZN Mktp US*H81491Z20,Shopping,Sale,-10.17,
10/18/2022,10/18/2022,AMZN Mktp US*H89DL1O70,Shopping,Sale,-79.41,
10/17/2022,10/17/2022,AMZN Mktp US*HT52X9U90,Shopping,Sale,-13.77,
10/16/2022,10/17/2022,Amazon.com*HT5Z84LL2,Shopping,Sale,-46.10,
10/17/2022,10/17/2022,Amazon.com*HT2LI3ZP2,Shopping,Sale,-24.90,
10/14/2022,10/16/2022,AMZN Mktp US*HT0498H80,Shopping,Sale,-84.79,
10/14/2022,10/16/2022,AMZN Mktp US*1K3HQ42G2,Shopping,Sale,-18.01,
10/13/2022,10/14/2022,AMZN Mktp US*HT6FO6311,Shopping,Sale,-22.89,
10/13/2022,10/14/2022,Amazon.com*1K0AO9DE2,Shopping,Sale,-5.71,
10/13/2022,10/13/2022,Amazon.com*HT2DX2TY0,Shopping,Sale,-261.31,
10/13/2022,10/13/2022,AMZN Mktp US*1K1Q458P2,Shopping,Sale,-8.43,
